score,class
0.044210128486156464,0
0.9953072667121887,1
0.9696924686431885,1
0.4290865957736969,0
0.9966829419136047,1
0.997033953666687,1
0.9907733201980591,1
0.9949250221252441,1
0.9758206605911255,1
0.9917603731155396,1
0.9904099702835083,1
0.9871900677680969,1
0.9897953867912292,1
0.000234114850172773,0
0.00020286912331357598,0
0.9934145212173462,1
0.00010181073594139889,0
0.0001106675190385431,0
0.00871378555893898,0
0.9949119687080383,1
0.024341445416212082,0
0.9777186512947083,1
0.0017941275145858526,0
0.9949742555618286,1
0.9972647428512573,1
0.2917207181453705,0
0.9963433146476746,1
0.9709897041320801,1
0.03509937599301338,0
3.28581472786027e-06,0
0.0312516987323761,0
0.9792040586471558,1
0.01932358182966709,0
0.9974568486213684,1
0.9950485825538635,1
0.0002798233472276479,0
0.9340360760688782,1
0.062690868973732,0
0.9662720561027527,1
0.9857563376426697,1
0.9934709072113037,1
0.11834351718425751,0
0.9910079836845398,1
0.9944185018539429,1
2.748487349890638e-05,0
0.9896377325057983,1
0.9910492897033691,1
0.9935675263404846,1
0.9937000274658203,1
0.9908690452575684,1
0.9647812247276306,1
5.002124908060068e-06,0
0.9828194975852966,1
0.9885122776031494,1
0.9928345680236816,1
0.9853099584579468,1
0.9949630498886108,1
0.0002212089457316324,0
4.696662017522613e-06,0
0.05479159206151962,0
3.5962341371487128e-06,0
0.0009293637122027576,0
0.03374835103750229,0
0.6681022047996521,0
0.9925746917724609,1
0.9925159811973572,1
0.9901577830314636,1
0.9938111901283264,1
0.9949207901954651,1
0.0227020476013422,0
0.002941075712442398,0
0.9882318377494812,1
0.984358549118042,1
0.008451604284346104,0
0.0027856247033923864,0
0.9970801472663879,1
0.9849552512168884,1
0.995298445224762,1
4.00957696911064e-06,0
0.969391405582428,1
0.00010034521983470768,0
0.9954985976219177,1
0.9903852939605713,1
0.0015162266790866852,0
0.9958167672157288,1
0.9966817498207092,1
0.9743538498878479,1
0.9971645474433899,1
0.989230215549469,1
0.003557956777513027,0
0.9985370635986328,1
1.0473412501849078e-12,0
0.9961579442024231,1
1.089251711050565e-08,0
0.9991300702095032,1
1.7875227964481155e-09,0
1.2269767921679886e-06,0
0.9987988471984863,1
0.9992576241493225,1
9.111698062724827e-10,0
3.135950828436762e-05,0
0.0005259402096271515,0
0.9980167150497437,1
6.647760164923966e-05,0
0.00016458687605336308,0
0.9867208003997803,1
0.9964050054550171,1
8.148033884936012e-06,0
6.401455721061211e-06,0
0.9978978633880615,1
0.9994440674781799,1
1.052699371939525e-05,0
0.9986248016357422,1
0.9984309077262878,1
2.1824300802109065e-06,0
5.361434318729152e-07,0
0.9880808591842651,1
0.9961292743682861,1
5.055193923908519e-06,0
0.9986664056777954,1
0.00026633613742887974,0
1.0482025913916004e-08,0
3.574651907811699e-09,0
1.8861140915760188e-07,0
8.93106213983863e-11,0
0.9989192485809326,1
0.9968535304069519,1
2.271706580359023e-05,0
0.9938701391220093,1
0.9959825277328491,1
9.072529792319983e-06,0
0.9984717965126038,1
0.996085524559021,1
2.2402574018087762e-08,0
0.998782217502594,1
0.9972723126411438,1
0.9965401887893677,1
0.9972434043884277,1
0.9974719882011414,1
0.9987101554870605,1
3.290334643679671e-05,0
0.9969896078109741,1
0.00013659917749464512,0
0.9981343150138855,1
4.58375642997666e-10,0
2.930145370783066e-08,0
0.9990066885948181,1
9.616023817216046e-07,0
2.9280935454067958e-09,0
0.9966170191764832,1
0.9966817498207092,1
0.9969388246536255,1
3.448906937819629e-09,0
0.9985979199409485,1
0.9966440200805664,1
0.9970241189002991,1
2.1694791939808056e-05,0
0.9979979395866394,1
0.989315390586853,1
4.877423985527596e-12,0
0.9968990087509155,1
7.985076488914444e-10,0
2.66449063701657e-07,0
5.245558432065422e-10,0
8.273639650724363e-06,0
0.9961657524108887,1
0.9941709637641907,1
9.768245945451781e-07,0
4.5936772608001775e-07,0
1.2784429070933356e-09,0
0.9947035908699036,1
0.9984151124954224,1
0.9985462427139282,1
0.9966711401939392,1
0.001024656812660396,0
5.15962872427167e-09,0
0.9945135116577148,1
